tweets,target
"Ditto. In fact, many, if not most, assertions he makes are wrong and were wrong at the time he made them a few months ago.",0
"It will be really interesting to see how accurate or not accurate this video when the war is done. If Russia wins this video will be a laughing stock. If Ukraine wins, this video be will very much on point.",1
 @davidmccall4024   russia is advancing slow at cost of population,0
" @JeZZGro Yea Right, you wish.",1
" @glintongordon6811  this is funny to you? if it was war in your country, you would not laugh",1
" @KiraNt4  I am Ukrainian and I agree with you, but also peace talks can be accept of capitulation of my country:(

And government + a lot of people believe that if we have a peace talks it'll be another war in the future",0
"There are two questions we need to ask. 
1. Is the number of working nukes greater than zero?
2. Does Russia itself have any idea which of their nukes are the functional ones?",1
"It does matter, not all will arrive at destination, and a lot could be shot down. So if they launch 20 instead of 100 this is a very good result.",1
"Not silly or irrelevant. Nuclear weapons need a very active maintenance schedule. The Tritium used in most modern nuclear weapons can be hard to produce in large quantities and Tritium is expensive to produce. Since Tritium has a relatively short half-life and is absolutely crucial to the working of modern nuclear weapons, it needs to be continuously produced to maintain the stockpile.  

Tritium production is something that even the US struggles with, so, the question of Russia's nuclear weapons reliability is on point and relevant.",1
People's cowardice is not a good enough reason to surrender the world to dictators.  That would just postpone our demise until they manage to find some advantage.,0
 @guybrush20X6  Yeah and their army is super messy. I remember that submarine that killed everyone just because they couldn't find it and fix it.,0
" @BHNative  yea, kursk. that was a f-ing massive facepalm. norway even offered to help them but they said no. so annoying",0
 @XaFFaX we have really no defense for nukes,0
None of their nukes work lol that's why we would annihilate them in a matter of seconds ,1
What if the conspiracy that aliens deactivated every nuke ever made decades ago? That would be hilarious.,1
" @SirsasthNigam.  They do, and Russian army has huge budget specifically for maintaining nuclear weapons.",1
"I have a feeling that even Russia tries to launch Nukes , the soldiers, weapons or drones or anything launching it would be so incompetent that it would nuke their location not opponents'",0
"​ @rogerdinhelm4671 The Russians also had a huge budget for maintaining their military and we've all seen the dry-rotted tires, rusty guns, and missile duds

I'm not saying all the nukes are duds but expecting each one to launch and expecting each one to have refreshed Tritium to go critical is fanciful after the world observing the rampant corruption in the Russian military industrial complex and government organizations",0
"​ @SirsasthNigam. I believe the tritium decay is the big maintenance factor. So yeah, they probably didn't keep up with it. I imagine military leader or whoever in charge of maintaining their stockpile went out and bought a yacht instead. ",0
That was my favourite part. Quite hilarious. Overall the video was quite entertaining. I laughed alot. ,1
"20% fails to acknowledge the simple fact that for all anyone knows, the number could realistically be 0.

If you thought corruption was rampart on equipment that might actually be used in a war, just wait until you see the corruption on things that would never actually be used, and you'd be dead either way if they were.

This isn't a justification to assume their nukes are all duds, though.  It's simply not worth the risk.",0
"20% working combined with an intercept rate of 75% and medium accuracy (doubtful) would mean around 38 nukes after taking into account the fact that the majority of US and Russian nukes are not primed and ready to go. Most but not all of them directed towards the United States, maybe half towards civilian areas. This would be devastating and catastrophic, but hardly a global disaster or a knockout blow to the United States.",0
" @haider9874  what if even they become redundant Russia still needs army equipments for it , right?",1
"I’m sure they’ve been busy since at least 2014 working on, bringing them up-to-date with this simmering conflict and escalating tensions with NATO.  I certainly wouldn’t count on that being near zero..",1
"Perhaps, but 20 percent is utter strategic failure.",0
" @daverobinson6110  sure maybe a strategic failure, but small chess game consolation for the million incinerated souls.",0
Actually 20% is enough to end the world a few times,0
 @stormy6029  but whole europe die slowly and some other parts of the world even russia doesnt lauch a single nuclear weapon,0
​ @krisstopher8259 do you mean USS Thresher (SSN-593) . All countries have had submarines sink.,0
That 20% would be shot down. The airspace around russia is heavily monitored.  Learn then earn kiddo.,0
"​ @guybrush20X6 the first answer is wayyyyyy more than enough, & the second is prolly not all of them or even many.",1
"​ @nonyobussiness3440 well we do, just not for as many as Russia has.",1
Looks like this Darwin awardee wants to test some nukes.,1
"​ @donixion4368 Uranium just works fine aswell, with a way longer lifespan. And russia has enough weapon grade nuclear material. Besides, the americans did insepctions until the 2010s, dont u think they would have noticed that their arsenal was inoperable?",1
"​ @rayzerot With 6000 war heads, even if we assume only 10 percent of the warheads work (and their ICBMs do work if u look at their latest test launches) ,thats atill 600 warheads to wipe out europe and the US. Furthermore, a nuclear response would still make europe uninhabitable.",1
" @muslimDeen137  Uranium would produce an Atomic weapon, not a thermonuclear weapon. Believe it or not, there is a big difference. 

Given that Tritium has a half-life of 12 years and the US would not have been able to baseline what weapons were at what decay, no, general inspections do not tell you what state a weapon is in.",1
"​ @donixion4368 Well, a nuclear weapon with ""just"" 20 kilotons is still enough to annihilate a large city. And thermonuclear weapons are ignited by a regular nuke in their core. So even if the tritium fails, there would still be at least a 10 kiloton blast instead of a megaton.",0
" @muslimDeen137  You need more than 1 20 Kt to cover a modern large city. In fact, you would need quite a few to totally destroy, say New York City. 

Russian strategic weapons are Tritium weapons. That is what they are and they would be highly neutered weapons if the Tritium has decayed. In fact, trying to detonate a Tritium-enhanced weapon that is not maintained would mean that the Tritium would have decayed to Helium and Helium tends to be inert.     

This condition would cause an atomic explosion to potentially be greatly reduced in yield.  

In other words, Russia could be sitting on thousands of dud strategic weapons.",1
"​ @muslimDeen137 The Beirut's explosion was about ""just"" 1.1 kilotons, and it was enough to cause huge collaterals. Imagine what 20 kilotons can do.",1
"Yes, the author seems very naive. Russia has so many weapons and supplies, made during the cold war, it can fight with them the next 2 3 years without a problem. Not having enough weapons is foolish and even funny. ",0
Let's day it's 0%. It's YOUR comment that is 'silly and irrelevant',0
​ @jonathanholden8794 NATO has more,1
"Well, I live in Manhattan, a primary target, so it's a pretty pertinent question to me how many work and where they hit.",1
 @nikolaygeorgiev3423  pointless question,0
"Every countries said they have nukes, it's just a mind game.",0
" @MegaPablo57  The US can also get its Uranium from Canada. The US does not need to continue to get Uranium from Russia. 

Russia being a nuclear power does not help them in this situation. They can not use nuclear weapons without serious fallout falling back on Russia and it is quite likely that NATO would also respond to nuclear weapons use. 

Remember, Just because Russia has something does not mean it can use it.",0
 @XaFFaX not if you’re anywhere in the same country as that 1 nuke lands. It’s incredible how ignorant people are about the destructive power of a “small tactical nuke”.,1
I doubt putin will ever use nukes or if he's dead crazy the people around him will stop him. Launch process is complex and nowere a single dude decide this kind of things. So we can chill. It's mostly about money. He's not mojo jojo ,0
" @rogerdinhelm4671  - Russia is very corrupted country, so I wouldn't be surprised if the ""nuclear"" budget was defrauded, too...
Anyway, this Russian war on Ukraine already proved, that Russian army, being vastly overrated,
still had/have some autentic talented patriots,
so the question still is open:
if ""nuclear"" budget was run by corrupted officers,
or by talented patriots...",1
Nuclear weapons are high maintenance weapons that are extremely expensive to keep. Russia didn’t maintain truck tires let alone nukes that were planned never to be used. The material inside the nuclear bomb has a half life that depletes quickly over time. None of those weapons work or they would have already been used.,0
" @XaFFaX  yea if you had any idea how modern MIRV nuke warheads like Sarmat work, you wouldnt write such nonsense. Take a ICBM that leaves the atmosfere of the earth before its nose cone opens up and releases 16 x 300 kiloton or 10x 750 kiloton warheada along with decoys, those warheads are designed to evade interception missiles, each of them has a primary and a secondary target, when they enter the atmosphere they do so at a hypersonic speed. Only 20 of those would mean that the world as we know it would end. Its virtually imposible to intercept warheads once they detach from the ICBM. Lets not even talk about their sub launched nukes. Now note that officially russia still has 6000 nuclear weapons in its arsenal, even 20% of those weapons worked its still game ovet",0
"Read about Rosatom, Russia is an advanced nuclear power, it is building nuclear power plants around the world, why suddenly everyone thinks our nukes does not work ?",1
" @petergeddesrensen6567  i'm not sure if saying 200 nuke missile strikes is 'bad' would qualify as armchair general, but oh well :)",0
​ @sambishop4720 5 planes to bring down a balloon,0
"It matters since the main doctrine is not about civilian death, but about military survival. Less nukes severally limits those capabilities",0
It’s relevant if you consider that probably same Russians don’t know how it works.,1
This is a very silly channel,0
Ill be fine out in the country,0
The no. could be 0.Who is silly now?,0
"Infographics believes Russia's nukes are paper tigers, the United States of America thinks otherwise. Makes me laugh how some people in the comments section believe infographics more than the briliant minds of the US military strategists. This vlogger lacks logic and common sense",1
It’s less than 30,0
" @rogerdinhelm4671 nah, the oligarchs have been skimming from that for years. Why? Because they know if those have to be used, you’re dead anyways.",0
"Confidence is key. Nuclear weapon is more mental, than real.",1
" @SirsasthNigam.  get your head checked by a specialist, chances are you are not right in the head. this is the 'feeling' i have lol",1
"""a single ICBM can contain up to 14 warheads""

Yep. Multiple Independently Targetable Reentry Vehicle aka M.I.R.V.  It looks like nobody here in the comments even knows about that. @megamags ",0
i guess you like to find out if they work or not by poking the bear lol,1
Yes. Russia has PLENTY that work. AND some other weapons that are brand new... Avangard HGV/Khizal etc,1
"I gave up watching after the video said something like , there is an ex T.V. Personality , etc.
I believe that means Donald J Trump.
He is far more than an ex tv personality . 
As that was said , I knew the thoughts from the video was bias , so I quit watching more.",1
 @nonyobussiness3440  You do not know that. Such weapons are top secret. I assume US and maybe a few other countries do have weapons against ICBMs.,0
How True!,1
Great quote bad name,1
"Russian soldiers are in no form or way ""the best of humanity""",1
That's a great quote. Pretty much sums up war in 8 words.,1
 @Turtle00001  They are not there because they wanted too. It is Putin who dreams of a new Russian empire.,1
" @davidelliott5843  Let's pretend you are right and that there hasn't been an effort to oppress and exploit much of the world. Let us forget about that very crucial and defining detail, doesn't matter really, WE PAY THE COST FOR THE SMALL FEW",1
"Unfortunately, war, or the preparation for it,  is also responsible for much of the great leaps forward in technology, for example the Internet, Silicon chip technology advance, laser technology, data storage, etc.  So, hopefully soon we will decide collectively that we no longer need the speedy advances which war delivers, but I am not super optimistic, but hopeful, none the less.",1
" @andraslieber9036  What? Ukraine's average soldier age is 43,  sure, nothing has changed.",1
" @blaquicat  but the recent call-up of much younger people, likely by another couple hundred thousand men, means things drag on.",0
" @andraslieber9036  well, things have changed.  China HAS supplied weapons, per various news stories.  And, the so-called reliable support from the U.S. has changed since this video...and has changed dramatically: no aid and no artillery ammunition, only slightly offset by Europe finally realizing that the U.S. is no longer reliable in these matters and announcing various major expansions in artillery production, etc.",0
" @davidcariens9475  Actually, all countries which tried to invade Afghanistan, lost to it. Britain in the 19th century, the USA in the 21st. It's an interesting place",1
"You should check other videos of this chanel, it's worse than you think. ",0
" @internet_userr  We're not suffering here in the USA.  I don't wish to disillusion anyone, but I will be cynically  blunt.  We are sending Ukraine our surplus.  We routinely replace enormous amounts of tanks and weaponry on a regular basis, because after a certain date it becomes dangerous to use.  The point at which we dispose of it is just sort of its expiration date, so to speak, so it's still good stuff, if used immediately.  So yes, what we send technically cost us millions of dollars, years ago, that we would have spent whether war had erupted in Ukraine or not, but in fact we are saving money by letting them dispose of it for us. 

The exception is experimental tech.  There, too, we profit, as the Ukrainians field-test it for us for free.

And why shouldn't we send our surplus to a country striving with all of its might for the Western values that we hold dear, against an unjust aggressor?  The great big difference between Ukraine and Russia is that Ukraine has always believed in freedom and longed for it even when it was pried away, whereas the Russians have always believed in submission to the state, no matter how many different kinds of government they try.  Ukrainians stand for what we stand for, and a bully neighbor is trying to crush it out of them.

As for whatever you're going on about regarding free food, housing, or energy, are you actually envying refugees?  People who have had everything they earned through a lifetime of hard work suddenly blown up?  Do you think that they were lucky when they had to crowd into refugee camps in the middle of a deadly pandemic, and now have to scramble for whatever they can get?

What if it was you?  This is not an idle question.  Disasters--from war or otherwise--hit everybody sooner or later.  The people you take care of today will take care of you tomorrow.  It's called being part of society.",1
you all walking dead,0
" @garicc70  It doesn't work like that in the real world. ""For all good against all bad.""",1
" @dressednplaid4875  We have no illusions. Most of us understand that no country needs war, no one is interested in the death of their people in war. (russia only) From the very beginning, we fight primarily for our survival, and you participate as much as it is beneficial to you. I understand this, because it is a reasonable attitude",1
" @garicc70  I like how in your imaginary ""best case scenario"" russia still illegally invades Ukraine...but this time with a small army? What? Grandpa get off the internet!",1
"Beside ""thank you"", Ukrainians would be paying off debts of high interest loans and lend/lease for a few generations.  Hope Ukraine would last that long as a functional state after the war.",0
" @DreamyCheshire-up9rf  Dude if we brought back our two mortal enemies (Japan and Germany) from a borderline apocalyptic war in the 40's, you think we can't do the same for one nation that's had our support since the start of this illegal war?",0
"​ @internet_userr well I gladly am paying my taxes so I can help in my own little way the good Ukrainians. I am a 69 year old RETIREE and I pray always for the victory of Ukraine. Slava Ukraine. Be generous fellow Americans. Ukraine needs our help. God bless Ukraine. From Portland, Oregon.",1
"​ @deliafamatigan8764 Bless your heart, but anyone you might've known that was in WW2 are spinning in their graves right now that we are arming Nazis to fight against Russia, who by the way were our allies in the Great War against the Nazis.",1
" @23suricata In replying for your comment.  From the current situations of the ""special military operation"", Russia only wanted the 4 regions and Crimea and Ukraine be a permanent neutral state between Russia and NATO.  Not the conquest of the whole Ukraine.  

The Baltic states are more fearful of Russia than Poland.  Also, its ashame that Poland backstabbed Ukraine again by extending its non sale of Ukraine grains in its nation till Sep 2023, after the Black Sea grain deal was off.  

Unless NATO send hundreds of thousands of formal, professional soldiers to fight with Ukraine, Russian military would prevail.  Zelensky grand counter offensive had failed.  Its Putin turn to amass 100,000 troops with 900 armours for his counter offensive.",0
You won't last long dw,0
 @darwel007  and Che zelensky happy to keep funneling money to himself in the mean while,1
 @darwel007  hahaha! I see what you did there!,1
" @DoloresJNurss  Heh, the same can't be said here in the UK.. I mean, our dwindling military are feeling the bite of this",0
Why thank cowards for destroying your country when it could have been avoided ?,0
 @internet_userr  I acknowledge that your sacrifices are greater.,1
Yes but to what end? Thanks to this we are now in WW3,1
" @leonorhernandez7079  What do you mean, to what end?  To what end would you fight if somebody broke into your house?",0
"It doesnt matter, NATO, US, Ukraine, whoever.... All will fall one by one. You will be sorry soon.  R U S S I A ",0
 @DreamyCheshire-up9rf Let’s not kid anymore… it’s a war not a “special military op.”,0
"If Nato had not got involved, the original peace terms of Putin would have been accepted. Russian speaking Ukraine would have become independent or Russian. Ukraine would have agreed to remain neutral and agreed not to join Nato. Hundreds of thousands of people would still be alive and Ukraine would be largely undammaged.",1
"Brazilians support you! (Not our corrupt president, Lula, though)",0
" @Andy-kd5or  You meant NATO/EU.  Without much supports from them, Ukraine would not outlast Russia.",1
​ @internet_userr yeah dude. Cuz I'm sure of the shoe where on the other foot you wouldn't be asking for help.,1
​ @fuzzzeballs that's very disrespectful and sad you think this,0
"Yes , with foreign support , ukrain will last till last man alive",0
" @nebitno6955  lol Ukrainian is older and has longer history than the Russian state of ""rus* Ukraine is nearly 1000 years old by historical records. Rus is 300. Stop allowing yourself brainwashed. Вы серьезно? Если правда, что украинцы русские, то вы бомбите свой народ. Это позорно, независимо от того, как вы это называете, приятель, который испорчен",1
Your full of it.,1
​ @DoloresJNurss what if it was Iraq Sudan Afghanistan Bosnia? Did anyone send them any surplus?? If russia was in war with Azerbaijan you wouldn't care less neither would have the US. This isn't mouth ukraine an whats being sent isn't surplus.,0
" @niteshdabas7996  you mean how an you go against ""Lord king leader godd putin""",0
"​ @patrickvitori3467 For Russia it is really SMO, for Ukraine it is the whole war. Russia has drafted to the war only 300000 military educated people and  it is worth nothing for Russia and has already seized all territories that wanted to seize.",1
 @podi1555  I know and they are going to need at least ten million troops to topple Ukraine.,0
 @vassilysoubotinov3337  You’ve been listening to Solovyov too much and he’s definitely not a military strategist… just a misinformation and disinformation point man.,1
" @patrickvitori3467  All i know about him: He's def not a military strategist. 
Source: you.",1
 @nebitno6955  Really? Wow!,1
" @patrickvitori3467  neither are they no idea what you're talking about, sorry",0
" @Cortesevasive  Blantly false… Slava Ukraini  and the brave men and women fighting for Ukrainian independence, not only for Ukraine… but for a civilized world order.",1
As a Swede (with partially Slavic origins) I am grateful to the Ukrainian people for standing up to Russia. Ukraine will prevail and win!,1
Stay safe,1
"we were forced to help, lots of us didn't want to",0
" @mahdidehghan7437  I did care about those, especially since I have a dear friend in Afghanistan who has had to go internet-silent, so that I no longer know whether he's alive or dead.   And we did send quite a bit of armament to Afghanistan.  I also cared about the Kurds that my country tragically betrayed--I was furious about Trump letting them down!  And  I'm worried right now about what the Wagner thugs are doing in Mali.

But I don't understand your point.  Are you saying that because we have let some allies down we should continue to do wrong?  That makes no moral sense!

We have to draw a line in the sand somewhere.  Ukraine has been one country too many.  Better a late stand than no stand at all.  It's long overdue that we should remember who we are and what we stand for.l",0
" @patrickvitori3467  Again, you didn't see a single recruiting bilboard in my country. No need for them, we aint fighting anyone right now. Dont think I will join Russian army and i will def not be conscripted since im not even Russian. Russian person probably wouldnt even talk to you in english. You seem to guess a lot.
But if I was a Russian, yes, i would join army. US/Nato did horrible things to my country. Demilitarization/Denazification of NATO is my dream.",0
 @patrickvitori3467  LOL @youtube for shadowbanning messages detailing NATO/US wrongdoings from both of my accounts. just LOL.,1
We all love you and hate the dog Putin. I’m from US and live in the southern state of alabama,0
"I hope u are safe and that the war ends soon. However, this seems unlikely. I'm an Australian, and we support Ukraine, however as u are on the other side of the world it is difficult for us to do much. I know we support u with military aid, like the bushmasters and some drones, etc., but I wish we could do more. Putin is a despicable despot. Hopefully Russians will rise up against him as it becomes clear that Russia cannot win this war. 
Stay safe and all the best from an Australian.",1
 @nebitno6955  What part of Russia do you live in because you’re missing them… just for your edification,0
" @DoloresJNurss  Yeah, we're hurting. And ant surplus should go to helping our own people.",1
" @basharstats4482  I help the homeless every chance I get, having been homeless in the past, myself.  What, you think I can only care about one thing at a time?

And it's interesting that you either don't know that Dolores is a female name, or you don't actually know that ""bro"" is short for ""brother"".  Are you Russian or Indian?",1
" @nebitno6955  Ohhh Serbia and I was under the understanding that you were from Russia. That’s probably why you haven’t seen the recruiting billboards in Russia b/c your a Serb. Okay, now the picture is much clearer now. Anyway, take care brother!",1
" @DoloresJNurss  Were you worried about what your country did to mine or the fact that US is supporting rebels in Syria, against the will of Syrian goverment who asked US to leave but you wouldnt? Were you worried about Lybia, Iraq, Afghanistan and so many others?",1
" @DoloresJNurss   If you are losing sleep over this war in Ukraine, let me convey a message from certain politician so you feel better: If this war makes you lose any sleep - dont, no need. Pretend. Pretend that Russia is US. Pretend that Ukraine is Iraq, Afghanistan, some african or middle eastern country. Then you wont care and will not lose any sleep at all. Simple.",1
" @nebitno6955  I thought you were a Serb or from Serbia which is a vassal state for Russia, and Russia basically owns Serbia oops I’m wrong I was thinking that you were from Belarus, my apologies Sir or ma’am.",0
" @ThePikminCaptain  We're stopping homes from being smashed to bits by an enemy that prioritizes attacking civilians over military targets, so yes, of course javelins stop homelessness!

On another level, callousness to others breeds callousness at home.  The people in this country who object to helping Ukrainians defend themselves generally don't care about the homeless here, either--but they will bring them up if they think they can win points in an argument--that is the beginning and the ending of their caring.  If Ukraine isn't mentioned, and you try to talk about projects to get the homeless into homes, they'll cry out, ""Oh no--I'm not wasting my tax dollars on a bunch of bums!""  That's how they see the homeless, as lazy bums, ignoring the fact that half the homeless people have jobs, and of the other half, many of them only lost their jobs because they became homeless.  I don't see that siding with Russia's supporters would do the homeless any good.

On still another level, once Ukraine comes out of this war victorious, their economy is going to take off, and we will be very glad to have them as economic partners.  We will increase economically together and fewer people in both nations will be homeless.  They will make a much better business partner than corrupt, moribund and uncreative Russia ever did!  Ukrainians are amazing innovators and problem-solvers!",1
Billions dollars support. You must love it,1
Your welcome ,1
"Youre welcome, because it's directly affecting us Canadians and Americans. Tell all your people to be good to us and do right by our country.",1
"It was never our business. We should've stayed out of there. I pray for the best for all of you over there and wish all the killing would just stop,but this was never our business and our Country should be worried about its own but its not.",1
"Yeah well the US is already in heavy debt.  So, we expect a payback",0
" @DreamyCheshire-up9rf  huh ?
Kherson is not in pootin's hands. Could , would. 
russian MOD does not even have the goals of the war. 
What is the goal of this war ?
Nobody knows",1
"We sent you help and you  made fun of US, you came în Europe, why????",1
 @internet_userr  would you rather be losing your limbs fighting in the trenches of ukraine instead of safe in America paying what amounts to a Netflix subscription in America to buy our military brand new equipment to replace old equipment that we were about to have to pay to dispose of?,1
" @andrewdunne9378   most  citizens of EU , USA, Canada etc.  do support the help we provide to Ukraine. Hawaii had a natural disaster, and those WILL continue. I am glad my taxes pay to stop pootin",1
"​ @dressednplaid4875 :the war had already started in 2014 and not last year. victoria nuland was the trigger for this proxy war. Over 15,000 civilians in Donbass were killed by the Ukrainian army and the UAF had already used cluster bombs against the population of Donbass in 2014. this has even been confirmed by the OSCE and Amnesty International. these crimes are deliberately kept silent in the western media... why? Ukraine will be worse than Vietnam for the US. and Victoria Nuland failed again with a proxy war against russia like it did against Assad | Syria",0
 @arescyp  I think you got the timeline wrong.  Russia only annexed Crimea in 2014 while the 4 regions were still under Kiev control.,0
" @DreamyCheshire-up9rf  nope..1. Crimea was the first region to declare indepency from Ukraine. The mayor from crimea knew there will be troubbles with the kiyv regime and asked russia for help. It was not the official russian army who protected the civilians of crimea it was actually the new build Wagner Group‼️
Short after Crimea the Donbass did held a poll as well and over 80% voted to be independend from Ukraine as well. So they have asked help from russia but putin refused but delivered weapons. The best know leaders of the free fighters of Donbsss is Givi an Ukrainian fighting for liberty for the Donbass...also a guy called Motorola. Check for these 2 guys",1
" @arescyp  You can film anything and then edit the film to make it look like something completely different.  But I live in America, regularly visit those cities, and have many friends and family in other cities, and they're not zombie cities.

We do have serious problems.  I've done my share of protesting; I'm not asleep to them.  But when I look at statistics, from objective sources, we are nowhere near as bad off as Russia.  We could do better.  But at least we have health left in us to work towards bettering ourselves.",0
Your welcome,1
​ @internet_userr get over it that's the problem with this world everyone wants everything for themselves if you're that mad about move to Russia,0
" @think2146  I agree that Russia has no business in Ukraine.  That's been my stance all along.  I've been arguing against the people who seem to think that helping Ukraine will somehow hurt the USA, when in fact helping them helps us.  But that's cynical words aimed at the cynical.  The word of my heart is that I want Ukraine helped because they have a right to their own land.",0
 @deliafamatigan8764 does retiree auto-capitalize on your device or did you manually capitalize it? Just curious ,0
"I think Ukrainian is being play by big power and it's government is played and in every country citizen are innocent and easy to manipulate

Ukranian have faced a lot of damage because its government and big power",1
"And without your country's spirit, the West would be spilling blood and even more treasury. Ukraine is no Afghanistan or South Vietnam and 8t goes to show that weapons and money alone are not enough. Dyakuyu i Slava Ukraini!",1
Ukrainians are models of heroes in modern days. Our hearts are with you. God bless Ukraine ,1
How it is possible live neighbor door county angry with you for entire life it’s ruin everything,0
Thanks to your help we're loosing this war steadily. Thanks Europe! *,1
"Zelensky had the chance to prevent this conflict through diplomacy. But he lacked the courage and the conviction.

In 2014 there was a coup. Soon after, there was a massacre in Odessa (dozens of people were burned alive). Ethnic Russians living in Ukraine were treated as subhuman. Their language and culture was being oppressed. A civil war broke out due to the rise in ethnic tensions. For 8 years the Ukrainian military was indiscriminately shelling civilians living in Donbas. 

If Zelensky honored the Minsk agreement and pledged neutrality, none of this would have happened. The 8 year civil war would have ended and Donbas would have remained part of Ukraine. War is the ultimate failure of diplomacy.

Zelensky, Poroshenko, Merkel and Hollande admitted that Ukraine had no intention to honor the Minsk agreements.

Who didn't want peace? Who advised against the 2022 peace talks in April? Hint: someone visited Zelensky in Kiev at that time.

Russia's national security was compromised once nato began to expand eastwards. Russia clearly stated that Ukraine joining nato was a red line (November 2021) and unfortunately this concern was never taken seriously. The Russians openly stated: if nothing changes, we will be forced to act in order to defend our national security. Enhancing the national security of one country at the expense of another is unacceptable. The Russians have legitimate security concerns.

20th September, 2021. Ukraine launched military drills with US and nato.

NATO is not a defensive alliance. Nato illegally bombed Yugoslavia (a direct violation of the U.N. Charter).
We should never forget what they did to Libya, Afghanistan, Iraq etc.

Who blew up the pipeline causing an environmental disaster?

Zelensky banned all opposition and recently arrested a leading priest.

Zelensky also tried to invoke article 5 under false pretenses. Remember the incident in Poland.

Ethnic Russians living in Ukraine were treated as subhuman. Their language and culture was being oppressed. 
Poroshenko said, “Our children will go to schools and kindergartens—theirs will hide in the basements”.

Russians will never forget the 2014 Odessa massacre. The whole world needs to know about it.

Why was Denis Kireev eliminated? He was a member of Ukraine's negotiating team during the peace negotiations. He wanted to help his country.

Ukraine has a hit list. They target artists, journalists and ordinary citizens. Hundreds of children are on this list. (13 year old Faina Savenkova was placed on this list.) 
Pink Floyd's Roger Waters is on this list. Jimmy Dore (American stand-up comedian, podcaster) and Aaron Maté (Canadian writer and journalist) are on this list.

There is evidence that Ukrainian troops have been indiscriminately shelling civilians in Donbas. (they used petal mines and targeted areas where there was no military presence). 

The azov troops trapped in the azovstal steelworks in Mariupol used human shields. They refused to allow civilians to leave despite of humanitarian corridors being present. Russia held a proposed cease fire in order for the civilians to leave, but azov would not allow the civilians to leave. 

Ukraine has committed many acts of terrorism (car bombs and other forms of assassination). Darya Dugina (journalist) RIP.

The terrorist attack on the Kerch bridge killed the truck driver and the individuals in the adjacent car (innocent civilian victims). 

I have done a lot of research and it took me a long time to write this comment. I have stated a lot of facts and I have given my honest opinion. 
I have provided a brief summary of events that took place. In order to explain this whole situation in great detail, a book would need to be written. 
Hopefully someone will write an UNBIASED book, stating facts and allowing the readers to form their own judgments. Everything I said can be fact checked and verified.

-perceivedreality7933",1
 @bobshelton1810  isn't that a good thing? Have you see the homeless encampments? Why are we giving money to Ukraine just to watch them lose it all at the mine fields?,1
​ @vassilysoubotinov3337 and cause ww3 which means no more you,0
 @DoloresJNurss  thanks for this explanation. I'm sick trying to convince unconvinced that we should support Ukraine because it is our cause also.,0
I feel sorry you guys are being played by the US and Russia,0
I severely dislike my government for giving so much aid to such a corrupt country.,0
" @deliafamatigan8764  Did you help to Iraq, Afghanistan, Serbia, Libya and other countries your country attacked?",0
" @bk818  Sorry, but your account doesn't hold water.  If Ukraine isn't actually getting the munitions, what's shooting down so many missiles aimed at them?  What's sinking sinking so many Russian ships?  What's raining down on Russian oil depots?  What has destroyed so many Russian tanks?",1
"Bruh, they are literally fighting for their very existence over there, and the 100 billion dollars we've given them isn't the reason everything cost so much right now, it's cooperate greed.",1
Yeah but yez are all dead,0
This war will go on for decades to  come. The only way is to get the two countries round the table and start talking.,0
The only way to stop this war is to get both countries round the table and start talking.,0
You are worth it.,1
"You are confused..  Are you not Slavic ? If not then you come from the west,, Galicia etc, same as Bandera.",0
" @Sextonstudios  yes like in afghanistan russia was also wining, like usual",0
"Do you have any idea how difficult accurate reporting is on such an issue. 

The implications have direct strategic consequences and the flow of the frontline is probably a direct representation of which side has better Intel that month.",1
They had to find that guys commanding officer to go out there and order him to stand down.,0
"​ @viponly5372 read your history, including the coup attempt even after being nuked. Many more lives and the race itself was saved given the overwhelming mindset of the Japanese people at that time.",1
" @viponly5372  Japan's own fault. Don't start a fight you can't win, then scream it was unjust because you get hit by a bigger stick.",1
And now Japan is occupied by USA. A foreign country (USA) has air bases in Japan. Their constitution has not been re-written since WW2 which was in the presence of US military generals. Japan is a territory of USA and same will happen to Ukraine.,0
 @randompost97  it's not occupied by the US where did you get that from? Lol,1
" @Fallout3131 lmaoo “start” got some learning to do kid  breaking peace treaty’s, stoping trades, supplying the neighbors enemy afterwards sureeeeeeee, USA totally pure and innocent as always",1
"Look, regardless of whatever happened in the South Pacific in the 1940s, you need to understand that the present conflict is not 1940s Pacifica - the indigenous forces of Ukraine are not fighting an army of fanatically motivated enemies on isolated islands, they are fighting poorly trained and unmotivated conscripts on a sizable landmass: the odds of these troops resisting decades after the war ends is so small that it’s practically zero.",0
"9:11 ""a certain ex-reality TV host""
???
heyyyyyy..... They better leave MARTHA STUART alone!!!
‍♂",1
 @randompost97 patently false,0
"As someone that lives on a Pacific Island, this is true but also very insignificant, it was more novelty like the last surviving tribe in the Amazon in Brazil, or The Sentinelese on North Sentinel Island, too small and insignificant to worry about, for the most part let them be to a natural death so they may be at peace",1
 @viponly5372  Wrong.,0
" @viponly5372  It isn't him saying it. Regardless of how you feel, those are the facts. Fight until every man, woman, and child are dead is a strong message that they stood by.",1
 @viponly5372  I mean it was either that or a land invasion that would have dragged WW2 for years more than it originally ended,1
